"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","154","154","0.802439","1.244549","0.409449"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","155","155","0.557029","0.552349","0.386853"
"Bahia Malaga, Valle del Cauca, Colombia","CM","MAL","4.01","-77.33","10","112","157","157","3.068465","3.755835","1.492744"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","159","159","0.745616","0.571006","0.428587"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","168","168","0.462148","0.338262","0.226162"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","170","170","0.456596","0.312904","0.256548"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","188","188","2.507816","3.189616","1.122616"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","194","194","0.702718","0.634367","0.821635"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","200","200","0.264234","0.246048","0.163545"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","211","211","0.680027","1.895912","0.561427"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","229","229","0.506298","0.58817","0.254776"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","233","233","1.07468","1.652439","0.436228"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","236","236","1.139278","1.139292","0.248794"
"Planadas, Tolima, Colombia","CM","PLNC","3.19","-75.65","10","1229","265","265","0.26188","0.990687","1.330597"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","273","273","0.206953","0.295016","0.202194"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","275","275","0.183257","0.186972","0.090607"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","289","289","0.073033","0.15234","0.082981"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","290","290","0.105179","0.116968","0.068172"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","290","290","0.11776","0.135417","0.106129"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","300","300","0.081912","0.141001","0.071449"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","304","304","0.358196","0.309721","0.106061"
"Popayan, Cauca, Colombia","CM","POP2","2.54","-76.68","10","1869","308","308","0.552961","0.504727","0.325596"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","310","310","0.110508","0.135242","0.057019"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","311","311","0.34414","0.303437","0.373477"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","334","334","0.134731","0.116101","0.053673"
"Quetame, Cundinamarca, Colombia","CM","CQUET","4.33","-73.86","10","1486","339","339","0.03637","0.036406","0.025419"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","343","343","0.063111","0.052446","0.031225"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","349","349","0.300622","0.281436","0.090264"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","353","353","0.188577","0.156598","0.062285"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","360","360","0.105438","0.117063","0.070559"
"El Dorado, Meta, Colombia","CM","DORAC","3.73","-73.85","10","824","367","367","0.06139","0.108087","0.05832"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","368","368","0.07712","0.08028","0.108578"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","374","374","0.247904","0.221596","0.120988"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","381","381","0.14525","0.123717","0.108878"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","382","382","0.238808","0.327992","0.071714"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","385","385","0.025345","0.03441","0.026713"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","403","403","0.021143","0.018856","0.014767"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","412","412","0.10718","0.106774","0.057454"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","416","416","0.189313","0.239108","0.103131"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","421","421","0.271498","0.24571","0.096656"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","432","432","0.035626","0.035884","0.026814"
"Giron, Santander, Colombia","CM","GIR1","6.91","-73.16","10","993","437","437","0.057238","0.077591","0.055999"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","459","459","0.030094","0.030907","0.01903"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","462","462","0.018441","0.022237","0.012025"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","478","478","0.075192","0.081459","0.037311"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","501","501","0.14617","0.151943","0.094188"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","503","503","0.051728","0.042727","0.02781"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","528","528","0.023499","0.021282","0.029008"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","532","532","0.052712","0.067607","0.019788"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","535","535","0.077165","0.046567","0.026448"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","540","540","0.009928","0.013553","0.007178"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","564","564","0.028751","0.030627","0.018208"
